date,code,kronos_ret,kronos_min3
2026-01-12,000007,-30.9206599554374,-24.621650095057134
2026-01-12,000070,-24.665241760342994,-17.877652055050664
2026-01-12,000408,-40.4179219919108,-23.860484946711235
2026-01-12,000426,-45.01676920938865,-18.692796154746325
2026-01-12,000510,-59.66205354693741,-57.789506556261074
2026-01-12,000534,-36.11562385634268,-28.516900149600932
2026-01-12,000547,-80.39708710686878,-73.66433628553986
2026-01-12,000559,-51.959766000382245,-39.63138496882039
2026-01-12,000572,-25.72608759961128,-14.1796047303961
2026-01-12,000592,-71.54265895453939,-44.606513482284825
2026-01-12,000593,-50.28088503558108,-43.03713552388471
2026-01-12,000603,-48.481838542551436,-40.62782465610976
2026-01-12,000609,-44.827013813753645,-16.133808627465275
2026-01-12,000612,-34.77882286530768,-23.736931004851403
2026-01-12,000657,-51.26200375886256,-25.33722170018786
2026-01-12,000672,-28.631016263990972,-24.341252183786278
2026-01-12,000688,-37.756039740707195,-29.363091305632917
2026-01-12,000700,-34.58601016260151,-26.237208358800835
2026-01-12,000703,-38.63690716093958,-30.987738281064004
2026-01-12,000792,-35.309320390846125,-24.165992653678714
2026-01-12,000807,-46.811080825223826,-18.680983804017803
2026-01-12,000811,-18.60763848771745,-8.319753728501434
2026-01-12,000833,-24.627220210242108,-14.949491061822018
2026-01-12,000859,-44.288104738051004,-35.1906801301589
2026-01-12,000878,-31.695362922990288,-11.494064916800461
2026-01-12,000892,-40.35297430329422,-17.84537350052675
2026-01-12,000893,-34.424544660813616,-30.77921070027062
2026-01-12,000901,-59.172283983600174,-57.610688337228645
2026-01-12,000905,-37.333248987369316,-32.588364484684895
2026-01-12,000933,-29.58270522585138,-17.933257370868073
2026-01-12,000935,-31.267744842779976,-23.54345405673396
2026-01-12,000960,-47.09134843315712,-41.676434646882896
2026-01-12,000962,-38.236182336519676,-30.69554656893504
2026-01-12,000969,-40.31464018596331,-34.97739130270735
2026-01-12,000973,-37.69742597076231,-34.76950952019572
2026-01-12,001203,-50.81514231026151,-23.362168676512084
2026-01-12,001208,-60.74759126006617,-39.92134858939267
2026-01-12,001225,-50.357120714146134,-42.93859316599986
2026-01-12,001267,-27.889764703291743,-19.989379817974218
2026-01-12,001270,-67.19926921174473,-44.233874263280704
2026-01-12,001309,-43.43833094378417,-15.934178538276456
2026-01-12,001331,-78.43653497513853,-65.38168615111918
2026-01-12,001359,-27.5733683622995,-19.758307934616294
2026-01-12,001360,-33.3619373148764,-23.945196011987623
2026-01-12,002028,-35.4402692144727,-34.71240496434286
2026-01-12,002029,-44.59998952102967,-26.83941412924049
2026-01-12,002046,-44.63948466046591,-31.916450024739305
2026-01-12,002050,-34.6982970424566,-21.464730684460143
2026-01-12,002066,-36.31141656050535,-30.407464996178234
2026-01-12,002083,-63.80600802178239,-33.62806660538382
2026-01-12,002115,-39.08766698553524,-21.430971294484202
2026-01-12,002149,-63.76483752654064,-59.16103955280456
2026-01-12,002151,-54.47285830222464,-46.753083506644174
2026-01-12,002163,-44.20790693543959,-29.213222929337
2026-01-12,002169,-37.734924905709256,-29.92100843476203
2026-01-12,002173,-56.64111810830017,-20.082311849321343
2026-01-12,002196,-33.84048845169143,-26.71939144299228
2026-01-12,002201,-37.56705361978919,-28.11156430785051
2026-01-12,002202,-69.28070105278925,-11.485249749194082
2026-01-12,002208,-25.985252561639214,-14.76483175872425
2026-01-12,002213,-29.08533434132129,-15.915105442922483
2026-01-12,002222,-45.93864050450206,-41.89549508819409
2026-01-12,002228,-31.729632998310198,-23.684684007621403
2026-01-12,002240,-48.45171864343097,-27.75810115598345
2026-01-12,002255,-35.93163853786161,-29.708576521983755
2026-01-12,002278,-27.873620858084834,-19.25684920423949
2026-01-12,002284,-23.645274902667246,-18.708749201734076
2026-01-12,002290,-37.23131767401722,-36.35625267082773
2026-01-12,002297,-34.46004528492948,-26.19467843977983
2026-01-12,002300,-26.45330550998749,-18.097893279612908
2026-01-12,002324,-47.01722070211163,-44.6250086544914
2026-01-12,002326,-29.177207023082886,-23.327633553804084
2026-01-12,002348,-28.617740294359795,-28.358689925066294
2026-01-12,002353,-45.27493737286602,-34.95288975699974
2026-01-12,002361,-60.93379505011806,-57.75066263608504
2026-01-12,002370,-8.923902984362808,-6.25176196944186
2026-01-12,002378,-31.194198763836102,-20.152664867025628
2026-01-12,002379,-44.04487041746597,-41.361752198958456
2026-01-12,002384,-23.104485918093875,-10.893213600547524
2026-01-12,002388,-21.580292300888015,-15.302586429564647
2026-01-12,002394,-46.56956399533728,-39.62476917973606
2026-01-12,002407,-41.048515504270625,-17.452720855523552
2026-01-12,002413,-70.6625999173558,-62.16971564785339
2026-01-12,002414,-31.74852295473357,-19.68383945495219
2026-01-12,002428,-39.13350919799622,-21.504866280479096
2026-01-12,002448,-16.507352524022224,-12.393310732360796
2026-01-12,002466,-25.911553689342025,-12.73662516480476
2026-01-12,002471,-47.93307914698703,-34.26809681738834
2026-01-12,002476,-23.713456058979933,-20.391894878406504
2026-01-12,002478,-24.166812540703408,-16.484863350678868
2026-01-12,002497,-43.485774214129336,-42.08421187492958
2026-01-12,002518,-52.06302381407853,-7.669980423968403
2026-01-12,002532,-41.378150771792576,-27.437086745107475
2026-01-12,002536,-18.86888010438692,-9.023741960705866
2026-01-12,002544,-39.14677160921383,-34.02850503213121
2026-01-12,002545,-45.47878068802365,-17.5907449008777
2026-01-12,002555,-37.687431637532974,-23.659495561345658
2026-01-12,002565,-71.35655074468052,-43.46854515536839
2026-01-12,002571,-41.63615869717711,-41.68559348126747
2026-01-12,002592,-24.572724428291803,-12.48886149556454
